name,gender,age,location,status,username,ethnicity,occupation,description,match_age,children,orientation,religion,smoking,drinking,intent,target
PolishWoman,female,47 y.o.,"Toronto, ON, Canada",divorced,PolishWoman,white,-,-,from 19 to 86,don't want children,Straight,Atheist,non-smoker,social drinker,"Fun, Romance",Male
emeterio,male,64 y.o.,"Miami, Florida, EE. UU.",separated,emeterio,hispanic,dr,el tiempo de dios es sabio,from 19 to 45,1-2 living elsewhere,Straight,Muslim,non-smoker,social drinker,"Serious Relationship, Marriage",Female
Girls,female,32 y.o.,"Arequipa, Perú",separated,Girls,mixed,Chef,Soy una persona sencilla .detallista,from 19 to 86,1-2 living with me,Straight,Other,non-smoker,occasional drinker,Friendship,Male
Fer1,male,57 y.o.,"Managua, Nicaragua",single,Fer1,hispanic,Ingeniero Agrónomo,-,from 19 to 86,1-2 living elsewhere,Straight,Christian,non-smoker,never,"Serious Relationship, Marriage",Female
Alya_Astarta,female,22 y.o.,"Chișinău, Moldova",single,Alya_Astarta,white,Nail master,-,from 27 to 45,no children,Straight,Atheist,chain smoker,never,"Serious Relationship, Marriage",Male
Sara393,female,52 y.o.,"Buenos Aires, CABA, Argentina",separated,Sara393,white,Docente,-,from 55 to 65,don't want children,Straight,Spiritual,non-smoker,social drinker,"Friendship, Serious Relationship",Male
Darkness,male,30 y.o.,"San Luis, Argentina",single,Darkness,hispanic,Maestro mayor de obras,Me gusta la música y los deportes,from 19 to 30,no children,Straight,Christian,non-smoker,social drinker,"Fun, Friendship, Romance, Serious Relationship, Marriage",Female
Zeenna,female,38 y.o.,"Gqeberha, South Africa",single,Zeenna,mixed,Retail,-,from 25 to 55,no children,Straight,Christian,non-smoker,never,Romance,Male
Katiavargas73,female,51 y.o.,"Holguín, Cuba",divorced,Katiavargas73,white,LICENCIADA EN CIENCIAS DE LA INFORMACION,-,from 49 to 55,1-2 living with me,Straight,Christian,non-smoker,social drinker,"Friendship, Serious Relationship, Marriage",Male
deltawingman,male,63 y.o.,"St Neots, Saint Neots PE19, UK",divorced,deltawingman,white,-,"Lived in 7 countries in 3 continents. Still like to travel. Working professional, amateur musician",from 19 to 60,more than 2 living elsewhere,Straight,Other,non-smoker,social drinker,"Romance, Serious Relationship, Marriage",Female
Josealfredo1,male,54 y.o.,"Sogamoso, Boyacá, Colombia",single,Josealfredo1,hispanic,"Diseño de muebles,carpenter",Serio honesto educado,from 19 to 40,no children,Straight,Other,non-smoker,social drinker,"Fun, Romance, Serious Relationship",Female
Sara066,female,20 y.o.,"57070 Vantoux, France",single,Sara066,white,Student,-,from 19 to 26,no children,Straight,Muslim,light smoker,never,Friendship,Male
GentlemanBill,male,56 y.o.,"Costa Mesa, CA, USA",single,GentlemanBill,white,Local 18 wheel truck driver,"Always seeking good times w/good people. Beach is my church. Amateur photographer, Bass&guitar player, car radio karaoke singer, Skateboard& bike for fun, I mean exercise. Musical taste from QOTSA to $lightly $toopid to Crystal Method to Tchaikovsky. Affectionate hand holder type of ♐ Sagittarius",from 19 to 50,1-2 living elsewhere,Straight,Spiritual,light smoker,social drinker,"Fun, Friendship, Romance, Serious Relationship, Marriage",Female
Juanito6610,male,46 y.o.,"Pucon, Pucón, Araucanía, Chile",single,Juanito6610,hispanic,Multifacetico,-,from 25 to 42,want children,Straight,Christian,non-smoker,occasional drinker,Serious Relationship,Female
Sara76,female,47 y.o.,Luxemburgo,divorced,Sara76,hispanic,Estetica,-,from 45 to 86,1-2 living with me,Straight,Christian,non-smoker,occasional drinker,Serious Relationship,Male
Sassyta,female,24 y.o.,"Naples, Metropolitan City of Naples, Italy",single,Sassyta,hispanic,-,-,from 37 to 49,no children,Straight,Christian,non-smoker,occasional drinker,Serious Relationship,Male
jose7,male,44 y.o.,"San Salvador de Jujuy, Jujuy, Argentina",single,jose7,hispanic,Estudiante,-,from 19 to 35,no children,Straight,Christian,non-smoker,never,"Friendship, Serious Relationship, Marriage",Female
Alex7,male,43 y.o.,"Cdad. de Guatemala, Guatemala",divorced,Alex7,hispanic,-,-,from 19 to 39,1-2 living elsewhere,Straight,Christian,social smoker,social drinker,"Romance, Serious Relationship",Female
CarAng,male,36 y.o.,"Caracas, Distrito Capital, Venezuela",single,CarAng,hispanic,Fisioterapia,-,from 19 to 86,1-2 living elsewhere,Straight,Spiritual,non-smoker,never,Serious Relationship,Female
ACJMKlein7,female,46 y.o.,"Windhoek, Namibia",divorced,ACJMKlein7,mixed,Procurement Officer,"Unconditional love, loyalty, trustworthiness, humor, laughter, loving, nurturing",from 19 to 86,1-2 living elsewhere,Straight,Christian,non-smoker,never,Serious Relationship,Male
Steve1034,male,46 y.o.,"Ottawa, ON, Canada",separated,Steve1034,white,Odsp,-,from 19 to 86,1-2 living with me,Straight,Christian,social smoker,never,Fun,Female
Rober17,male,42 y.o.,"Marathon, FL 33050, USA",divorced,Rober17,hispanic,-,-,from 32 to 42,more than 2 living elsewhere,Straight,Christian,non-smoker,never,Marriage,Female
Yairien,female,40 y.o.,"Santiago de Cuba, Cuba",single,Yairien,white,Econòmica,-,from 19 to 86,1-2 living with me,Straight,Christian,non-smoker,never,Marriage,Male
Consuelo14,female,44 y.o.,"Chicago, IL, USA",widowed,Consuelo14,white,Musician,"I have a good heart, caring, I believe in God, go to church every Sunday. I would like to meet the Orthodox good and honest man.",from 19 to 86,no children,Straight,Christian,non-smoker,social drinker,Marriage,Male
Jamilex,female,21 y.o.,"Quito, Ecuador",single,Jamilex,mixed,Estudiante,Me gusta leer libros y me encanta la naturaleza.,from 19 to 58,no children,Homosexual,Christian,non-smoker,never,"Friendship, Serious Relationship",Male
Pabloro13,male,30 y.o.,"Panama City, Florida, EE. UU.",single,Pabloro13,hispanic,Pressure washing company,-,from 21 to 35,no children,Straight,Other,non-smoker,social drinker,Serious Relationship,Female
Kevin87,male,37 y.o.,"Manta, Ecuador",single,Kevin87,mixed,Tecnologo Sistemas,-,from 20 to 45,no children,Straight,Christian,non-smoker,never,Romance,Female
Kedek312,male,43 y.o.,"Cdad. de Guatemala, Guatemala",single,Kedek312,hispanic,Profesor,Interesado en una relacion formal no importa el lugar estoy dispuesto a viajar.,from 29 to 55,no children,Bisexual,Christian,non-smoker,never,"Friendship, Romance, Serious Relationship, Marriage",Male
Glory63,female,54 y.o.,"Bogotá, Colombia",separated,Glory63,hispanic,Docente,-,from 45 to 58,1-2 living with me,Straight,Christian,non-smoker,never,Serious Relationship,Male
NataliiaNatali,female,36 y.o.,"33-300 Nowy Sącz, Poland",divorced,NataliiaNatali,white,-,-,from 19 to 86,1-2 living with me,Straight,Christian,non-smoker,never,Fun,Male
ronny88,male,36 y.o.,"Caracas, Distrito Capital, Venezuela",single,ronny88,hispanic,agricultura y ganaderia,"Soy un hombre de 34 años venezolano de GUARICO vivo en SAN JUAN DE LOS MORROS , dedicado a la AGRICULTURA Y GANADERIA sin hijos, soltero, profesional, estoy aqui buscando el verdadero amor solo eso no estoy para juegos odio las mentiras",from 19 to 86,no children,Straight,Christian,non-smoker,occasional drinker,"Fun, Friendship, Romance, Serious Relationship, Marriage",Female
Yitzchak303,male,43 y.o.,"Denver, CO, USA",single,Yitzchak303,hispanic,Home improvement,-,from 23 to 40,no children,Straight,Jewish,non-smoker,social drinker,"Fun, Friendship, Romance, Serious Relationship, Marriage",Female
LIUBOV1964,female,60 y.o.,"Kamianske, Dnipropetrovsk Oblast, Ukraine, 51900",divorced,LIUBOV1964,white,"фитнес, кулинария, горные лыжи",-,from 55 to 65,1-2 living elsewhere,Straight,Christian,non-smoker,occasional drinker,Serious Relationship,Male
Xavier_Blanco555,male,46 y.o.,"La Paz, Bolivia",divorced,Xavier_Blanco555,hispanic,Abogado,-,from 30 to 40,more than 2 living elsewhere,Straight,Other,non-smoker,never,Serious Relationship,Female
Rockstar6000,male,49 y.o.,"Oklahoma City, OK, USA",divorced,Rockstar6000,white,Forklift operator,"I am a fun and energetic guy. I’m a hard worker and love to have fun… I like to cook, exercise, play music, travel",from 19 to 48,1-2 living with me,Straight,Other,non-smoker,social drinker,"Fun, Friendship, Romance, Serious Relationship, Marriage",Female
Rocko0010,male,49 y.o.,"Orlando, Florida, EE. UU.",divorced,Rocko0010,hispanic,-,-,from 19 to 86,no children,Straight,Other,social smoker,social drinker,Romance,Female
Sibeth,female,22 y.o.,"New York, NY, USA",single,Sibeth,white,-,"Soy una joven muy tranquila, criada a la antigua, estoy buscando algo serio con quien pasar toda mi vida, no para ratos sino para siempre, a pesar de q soy muy joven, tengo mis metas muy bien formadas",from 27 to 40,no children,Straight,Christian,non-smoker,never,"Serious Relationship, Marriage",Male
Chuckefinster,male,37 y.o.,"Green Bay, WI, USA",single,Chuckefinster,white,-,-,from 19 to 40,want children,Straight,Other,non-smoker,social drinker,"Fun, Romance",Female
Pana2506,male,40 y.o.,"Fort Lauderdale, Florida, EE. UU.",single,Pana2506,mixed,IT Manager,-,from 28 to 42,1-2 living with me,Straight,Christian,social smoker,social drinker,"Romance, Serious Relationship, Marriage",Female
Brayangormasrojas,male,32 y.o.,"Lima, Perú",single,Brayangormasrojas,hispanic,-,"Soy una persona alegre,divertido,amigable, compredible,eh respetuoso",from 19 to 86,no children,Straight,Other,non-smoker,occasional drinker,Friendship,Female
TobyT,male,46 y.o.,"Crescent, OK 73028, USA",single,TobyT,white,"Oil field mechanic, armed private security/bodyguard","Simple, honest and calm man looking for a woman to start a new life with.",from 19 to 45,1-2 living elsewhere,Straight,Atheist,chain smoker,occasional drinker,"Serious Relationship, Marriage",Female
Marina85009,female,35 y.o.,"Kremenchuk, Poltava Oblast, Ukraine, 39600",in relationship,Marina85009,white,-,-,from 19 to 86,more than 2 living elsewhere,Straight,Jewish,social smoker,social drinker,"Serious Relationship, Marriage",Male
Olya97,female,60 y.o.,Luxembourg,widowed,Olya97,white,-,"I have hope to meet you - my soulmate for to share my happiness with you and be with you till the rest of my life. I came here because people don't meet each other on the street any more. And I am sure I will know you because when you meet ""your"" person it is how you feel when you ""back home"" after long way.
As for me I am a positive person and accept every day as a priceless gift. My interests help me to ""keep"" joy in my soul regardless of people and circumstances. 
I feel we will meet soon! ????",from 19 to 86,don't want children,Straight,Other,non-smoker,social drinker,"Serious Relationship, Marriage",Male
REYNALDO2301,male,45 y.o.,"Guayana City, Bolívar, Venezuela",single,REYNALDO2301,hispanic,emprendedor,-,from 19 to 60,want children,Straight,Other,non-smoker,occasional drinker,Serious Relationship,Female
adwev,male,36 y.o.,"Tbilisi, Georgia",divorced,adwev,asian,-,-,from 19 to 86,want children,Straight,Atheist,non-smoker,never,Friendship,Male
Mayito1974,male,49 y.o.,"Barquisimeto 3001, Lara, Venezuela",divorced,Mayito1974,hispanic,Terapeuta,-,from 30 to 40,1-2 living elsewhere,Straight,Other,non-smoker,occasional drinker,Serious Relationship,Female
VWLUV1967,female,60 y.o.,"Modesto, CA, USA",divorced,VWLUV1967,white,Retired,-,from 45 to 65,no children,Bisexual,Spiritual,light smoker,occasional drinker,"Friendship, Romance","Male, Female"
Chancetwob,male,39 y.o.,"Frankfort, KY 40601, USA",single,Chancetwob,white,-,-,from 19 to 50,no children,Straight,Atheist,non-smoker,occasional drinker,"Fun, Friendship, Romance",Female
Woodsman,male,59 y.o.,"North Tazewell, Tazewell, VA 24651, USA",widowed,Woodsman,white,Construction management,-,from 33 to 57,1-2 living with me,Straight,Christian,non-smoker,occasional drinker,"Friendship, Romance, Serious Relationship",Female
Ludsadsas,male,34 y.o.,"Zulia, Venezuela",single,Ludsadsas,white,Programador,-,from 19 to 34,no children,Straight,Christian,non-smoker,never,"Romance, Serious Relationship",Female
tomshop,male,39 y.o.,"Quitman, AR 72131, USA",single,tomshop,white,Disabled,-,from 19 to 40,don't want children,Straight,Christian,light smoker,never,"Serious Relationship, Marriage",Female
Manuel76,male,47 y.o.,"Lima, Perú",single,Manuel76,hispanic,Contador,-,from 35 to 40,want children,Straight,Spiritual,non-smoker,social drinker,Serious Relationship,Female
Ochosi6,male,36 y.o.,"Chicago, IL, USA",single,Ochosi6,hispanic,-,"Buen sentido del humor , trabajador",from 19 to 86,1-2 living with me,Straight,Other,non-smoker,social drinker,"Friendship, Romance, Serious Relationship, Marriage",Female
Valeriaegas1992,female,31 y.o.,"Seville, Spain",single,Valeriaegas1992,hispanic,-,-,from 35 to 59,no children,Straight,Spiritual,non-smoker,occasional drinker,Friendship,"Male, Female"
Yela86,female,38 y.o.,"Tegucigalpa, Honduras",single,Yela86,mixed,Psicologo,Trato de encontrar una persona que podamos conectar emocional y espiritualmente,from 34 to 55,1-2 living with me,Straight,Christian,non-smoker,never,Friendship,Male
Adelvis,male,31 y.o.,"Quindío, Colombia",single,Adelvis,hispanic,Técnico,"Cariñoso divertido, muy activo me encanta mucho el sexo",from 19 to 86,1-2 living elsewhere,Straight,Other,non-smoker,never,Romance,Female
Claumex41,female,43 y.o.,"Mexico City, CDMX, Mexico",single,Claumex41,hispanic,-,"Hello im easy-going person, loyal.",from 41 to 55,1-2 living with me,Straight,Other,non-smoker,never,"Friendship, Romance, Serious Relationship, Marriage",Male
Israr777,male,35 y.o.,"Manama, Bahrain",single,Israr777,asian,Driver,-,from 27 to 34,no children,Straight,Muslim,non-smoker,never,"Friendship, Serious Relationship",Female
marcelorizzo2022,male,52 y.o.,"Sunshine Coast Queensland, Australia",divorced,marcelorizzo2022,white,-,"I am from Uruguay and I came to Australia because here live my daughter Francesca. Now she living with me. And I work in the Hospital Sunshine Coast in IT. Is my first work experience here in Australia.
I like catch movies and listen music and play football and basketball. I like fishing and travelling. I love it cooking and talking interesting topics.",from 28 to 50,1-2 living with me,Straight,Spiritual,non-smoker,social drinker,"Romance, Serious Relationship",Female
Whitehammer,male,39 y.o.,"Kansas City, MO, USA",single,Whitehammer,white,Self employed,"Been single for a couple years, not looking for anything specific. Just fun and see where it goes",from 19 to 64,1-2 living elsewhere,Straight,Spiritual,light smoker,never,"Fun, Romance",Female
Leons,male,59 y.o.,"Houston, TX, USA",single,Leons,black,-,-,from 19 to 86,1-2 living elsewhere,Straight,Spiritual,social smoker,social drinker,"Fun, Friendship, Romance",Female
Lex2222,male,30 y.o.,"Falls Church, VA, USA",single,Lex2222,hispanic,-,-,from 19 to 86,no children,Straight,Christian,non-smoker,never,Serious Relationship,Female
Alancito99,male,28 y.o.,"Raleigh, NC, USA",single,Alancito99,hispanic,Servicio al cliente,"Adicto al los placeres de la vida. El sexo, vino tinto y la buena comida.",from 19 to 86,want children,Bisexual,Jewish,non-smoker,social drinker,Fun,Male
RonaldBaldringer,male,39 y.o.,"Miranda, Venezuela",single,RonaldBaldringer,hispanic,-,-,from 30 to 40,1-2 living elsewhere,Straight,Christian,non-smoker,occasional drinker,Friendship,Female
erland2022,male,58 y.o.,"Cobija, Bolivia",separated,erland2022,hispanic,Ingeniero Agrónomo,Busco una mujer para cuidarla amarla y darle mucho cariño respetandola todos los días de mi ???? vida,from 19 to 86,more than 2 living elsewhere,Straight,Christian,non-smoker,social drinker,"Romance, Serious Relationship, Marriage",Female
Andre2996,male,28 y.o.,"Lima, Perú",single,Andre2996,pacific islander,Mecánico,-,from 19 to 86,no children,Homosexual,Other,non-smoker,occasional drinker,"Romance, Serious Relationship",Female
Darwuin23,male,28 y.o.,"Distrito Capital, Venezuela",single,Darwuin23,hispanic,Pastelero,-,from 19 to 30,no children,Straight,Other,non-smoker,never,"Fun, Friendship, Romance, Serious Relationship",Female
JadarriusHawkins093,male,36 y.o.,"Birmingham, AL, USA",single,JadarriusHawkins093,black,Construction worker,Very nice successful handsome king. Very determined with structure and discipline to stay focused on the conception of wanting to live a beautiful peaceful life with a beautiful family.,from 19 to 86,more than 2 living elsewhere,Straight,Christian,light smoker,social drinker,"Fun, Friendship, Romance, Serious Relationship, Marriage",Female
3rnes70,male,31 y.o.,"Tulsa, OK, USA",single,3rnes70,mixed,-,-,from 19 to 36,want children,Straight,Christian,non-smoker,never,"Fun, Friendship, Romance, Serious Relationship, Marriage",Female
Erick1970,male,36 y.o.,"Lima, Perú",single,Erick1970,white,Ingeniero Ambiental,Hola soy un chico divertido que desea conocer a una ecuatoriana para una relación seria antes conocerce salir en perú o ecuador y iniciar algo a futuro .,from 19 to 35,no children,Straight,Christian,non-smoker,social drinker,Serious Relationship,Female
Andresando,male,43 y.o.,"Leipzig, Germany",separated,Andresando,white,Administración,-,from 24 to 46,1-2 living elsewhere,Straight,Christian,non-smoker,social drinker,"Friendship, Romance, Serious Relationship, Marriage",Female
Hernanhs,male,43 y.o.,"Cali, Valle del Cauca, Colombia",single,Hernanhs,hispanic,Enfermero,"Hola soy persona educada, centrada en los cosas, trabajador, busco una persona conocernos y talvez si se dan las cosas poder tener una linda amistad y ya el tiempo dirá lo que pueda pasar,",from 30 to 80,no children,Homosexual,Christian,non-smoker,never,Serious Relationship,Male
supere2929,male,58 y.o.,"Québec City, QC, Canada",single,supere2929,white,-,-,from 19 to 86,1-2 living with me,Straight,Other,chain smoker,heavy drinker,Romance,Female
Aperezmoreno,male,50 y.o.,"Austin, Texas, EE. UU.",single,Aperezmoreno,hispanic,maintenance,-,from 28 to 38,want children,Straight,Other,non-smoker,occasional drinker,Serious Relationship,Female
Joaquin907,male,34 y.o.,"San Salvador, El Salvador",single,Joaquin907,hispanic,Atención al cliente,Hola pues me presento soy un chico divertido alegre tranquilo me gusta la sinceridad y la honestidad suelo ser romántico,from 19 to 40,no children,Straight,Christian,non-smoker,never,"Fun, Friendship, Romance, Serious Relationship, Marriage",Female
Rob7204,male,66 y.o.,"Monroe, LA, USA",divorced,Rob7204,white,Regional Sales Representative,"Mature, passionate, old-school romantic guy who enjoys treating women with dignity and respect. I'm a good cook, good listener and a good friend. People say I am generous, intelligent, kindhearted and encouraging. I like to believe the best about people and give them the benefit of the doubt. I try to keep a positive attitude about everything and seek the LORD with all my heart, soul, mind and strength. I'm looking for my soulmate. She will be a special woman and will be treated like the queen of a castle!",from 35 to 60,1-2 living elsewhere,Straight,Christian,non-smoker,social drinker,"Romance, Serious Relationship, Marriage",Female
Esstebann,male,42 y.o.,"Cascavel, State of Paraná, Brazil",divorced,Esstebann,mixed,Agronomía,Me gustaría conocer alguien compatible gentil sincera,from 30 to 60,no children,Straight,Christian,non-smoker,never,"Friendship, Serious Relationship, Marriage",Female
Dayan1234,male,28 y.o.,"Miami, Florida, EE. UU.",single,Dayan1234,white,-,-,from 19 to 42,no children,Straight,Atheist,non-smoker,never,Serious Relationship,Female
Simo90,male,44 y.o.,"Madrid, Spain",single,Simo90,white,Carpentero,-,from 19 to 86,no children,Straight,Christian,light smoker,occasional drinker,Serious Relationship,Female
kattys,female,37 y.o.,"Caracas, Distrito Capital, Venezuela",single,kattys,hispanic,empleada publica y estudiante,"Soy una mujer muy madura, se lo que quiero y estoy enfocada a conseguirlo, me gusta conversar, comer rico, el cafe , el vino, y disfrutar de los instantes de felicidad de la vida.",from 30 to 70,1-2 living with me,Straight,Christian,non-smoker,occasional drinker,"Fun, Friendship, Romance, Serious Relationship",Male
quique342,male,37 y.o.,"Lima, Perú",single,quique342,hispanic,-,-,from 19 to 86,no children,Straight,Spiritual,non-smoker,occasional drinker,"Fun, Friendship, Romance, Serious Relationship, Marriage",Female
Noelcole,male,43 y.o.,"Cork, Ireland",separated,Noelcole,white,Lidl,Fun honest lovable rouge who loves bikes and music gigs,from 35 to 49,no children,Straight,Spiritual,non-smoker,social drinker,"Fun, Friendship, Romance",Female
ExeterStallian,male,54 y.o.,"Exeter, UK",single,ExeterStallian,white,Nonprofit,"Hi, I am a genuine boy who has been single since 2001 & seeks a genuine girl in or near Exeter, Devon. I'm a down 2 earth, open minded, kind, awakened, honest, loyal, fun, independent man seeks a down 2 earth, open minded, mature girl wanting 2 share friendship, laughter with me in Exeter, Devon. Are you an awakened girl wanting love & affection, who's kind, loyal, trustworthy who likes 2 snuggle up on the sofa & watch a good movie together? 

Remember to treat people how you want 2 be treated.

Must be intelligent enough to pick up the phone, call me & arrange to meet up for a drink..

You can choose 2 be loved or you can choose 2 be unloved. Let's Make Love and Not War. Not another site full of fake profiles.",from 27 to 60,1-2 living elsewhere,Straight,Spiritual,non-smoker,never,"Fun, Friendship, Romance, Serious Relationship, Marriage",Female
Maniela,female,58 y.o.,"Bacău, Romania",widowed,Maniela,white,Teacher,-,from 55 to 65,1-2 living with me,Straight,Christian,non-smoker,never,"Romance, Serious Relationship, Marriage",Male
Mauro50,male,54 y.o.,"London, UK",divorced,Mauro50,hispanic,Empleado de laboratorio,-,from 30 to 55,1-2 living elsewhere,Straight,Christian,non-smoker,social drinker,"Friendship, Romance, Serious Relationship",Female
Mauricio3,male,44 y.o.,"Yantzaza, Ecuador",divorced,Mauricio3,hispanic,-,Soy una persona alegre y sanan en mi vida,from 19 to 86,1-2 living elsewhere,Straight,Christian,non-smoker,occasional drinker,Marriage,Female
Quiron,male,46 y.o.,"Caracas, Distrito Capital, Venezuela",divorced,Quiron,mixed,-,-,from 35 to 55,1-2 living elsewhere,Straight,Spiritual,non-smoker,social drinker,Serious Relationship,Female
Leoviloria,male,65 y.o.,"Maracaibo, Zulia, Venezuela",separated,Leoviloria,hispanic,Contabilista,-,from 45 to 55,1-2 living elsewhere,Straight,Christian,non-smoker,social drinker,Friendship,Female
Winsthon,male,46 y.o.,"La Molina, Perú",single,Winsthon,hispanic,Abogado,"Hombre solitario en busca de una dama para vivir toda la vida con ella, si le gusta salir a correr, pasear y trabajar juntos, eres la indicada",from 25 to 50,no children,Straight,Christian,non-smoker,never,Marriage,Female
Lyna68,female,43 y.o.,"Villamaría, Caldas, Colombia",single,Lyna68,hispanic,Independiente,-,from 39 to 52,no children,Straight,Christian,non-smoker,never,Friendship,Male
Bakulya,female,46 y.o.,"Bishkek, Kyrgyzstan",divorced,Bakulya,asian,Life coach,"In any difficult life situation, I remain an optimist. I believe in people and that I will meet a worthy person here, who needs love and support. To the man I love, I will give all my care and tenderness. Let's get acquainted!",from 19 to 86,more than 2 living with me,Straight,Muslim,non-smoker,never,"Serious Relationship, Marriage",Male
Scotty70,male,54 y.o.,"Adelaide SA, Australia",separated,Scotty70,mixed,"Unemployed atm But I am logo designs because I am a designer, so hopefully i'll get some work from it.","I am a guy who enjoys life, going out for drinks with friends and family. I am a romantic for a guy yeah I know lol, I like walks, the beach, going out for dinners and treat women the way they should be treat.",from 44 to 57,1-2 living elsewhere,Straight,Other,social smoker,social drinker,Romance,Female
Nelson15071990,male,34 y.o.,"Lima, Perú",single,Nelson15071990,hispanic,-,-,from 19 to 40,no children,Straight,Christian,non-smoker,never,"Romance, Serious Relationship, Marriage",Female
Esuarez,male,30 y.o.,"Managua, Nicaragua",single,Esuarez,mixed,Farmaceutico,"Soy respetuoso, aprecio la humildad y sencillez de carácter.",from 19 to 30,no children,Straight,Christian,non-smoker,never,Serious Relationship,Female
Luz57,male,37 y.o.,"Cape Town, South Africa",single,Luz57,black,Internship,"I am a kind and loving person who believes in genuine love in a relationship. I care too much and I believe that that my partner should be my best friend. Only if you are serious about our relationship, I'm prepared to play my role as a loving, carring, providing and protective man. Lastly I am also a straight talker in a very respective way cause I believe in truth and hate lies and fake personality.",from 19 to 40,want children,Straight,Christian,non-smoker,never,"Fun, Friendship, Romance, Serious Relationship, Marriage",Female
josisami1947,male,48 y.o.,"Quito, Ecuador",divorced,josisami1947,mixed,PASTOR PROTESTANTE,"Soy pastor Protestante, busco compañera cristiana para continuar en el trabajo pastoral, soy musico y autor de 2 libros .",from 19 to 86,1-2 living elsewhere,Straight,Christian,non-smoker,never,Marriage,Female
Carlos5434,male,37 y.o.,"Ramat Gan, Israel",single,Carlos5434,black,-,-,from 19 to 86,no children,Straight,Christian,non-smoker,social drinker,Romance,Female
pedromore,male,57 y.o.,"Maracaibo, Zulia, Venezuela",single,pedromore,hispanic,Periodista,"Soy sencillo, discreto, serio, me gusta la vida de hogar, la cocina hogareña, compartir con mi pareja, activo sexualmente",from 24 to 60,want children,Straight,Spiritual,light smoker,social drinker,"Friendship, Romance, Serious Relationship, Marriage",Female
Cheo8,male,59 y.o.,"Jiutepec, Mor., México",separated,Cheo8,hispanic,-,"Soy responsable,y trabajador.claro, franco para hablar o escribir, me gusta el amor,real,y sólido",from 19 to 62,more than 2 living elsewhere,Straight,Other,light smoker,never,Serious Relationship,Female
Jennamarie,female,31 y.o.,"Fort Dodge, IA 50501, USA",single,Jennamarie,white,Student,-,from 29 to 40,1-2 living with me,Straight,Other,non-smoker,occasional drinker,"Romance, Serious Relationship, Marriage",Female
Steaksauce83,male,34 y.o.,"Tulsa, OK, USA",single,Steaksauce83,white,-,-,from 19 to 86,no children,Straight,Other,non-smoker,social drinker,"Fun, Friendship",Female
Yoselyn,female,40 y.o.,"Carabobo, Venezuela",single,Yoselyn,white,Lic contaduría pública,-,from 50 to 82,more than 2 living with me,Straight,Spiritual,non-smoker,occasional drinker,Serious Relationship,Male
Jherron,male,68 y.o.,"Blacklick, OH 43004, USA",widowed,Jherron,white,Self employed,-,from 30 to 60,1-2 living elsewhere,Straight,Christian,non-smoker,social drinker,"Friendship, Romance, Serious Relationship, Marriage",Female
Isverkilys,female,31 y.o.,"Santiago, Región Metropolitana, Chile",separated,Isverkilys,black,-,-,from 28 to 40,1-2 living with me,Straight,Christian,non-smoker,social drinker,"Friendship, Romance, Serious Relationship",Male
VJVTX1,male,61 y.o.,"Austin, Texas, EE. UU.",divorced,VJVTX1,hispanic,Profesional,"Instropestivo
Amante de las buenas costumbres y caballerismo
Convencional
Trabajador
Amante de la paz, tranquilidad, la naturaleza, la buena música, la buena comida, baile salsa romántica y saver amar.",from 35 to 60,don't want children,Straight,Christian,non-smoker,social drinker,"Romance, Serious Relationship",Female
Invicta,male,58 y.o.,"Alstonville NSW 2477, Australia",separated,Invicta,white,Electrician,-,from 30 to 55,1-2 living elsewhere,Straight,Other,non-smoker,occasional drinker,"Fun, Friendship, Romance, Serious Relationship",Female
marplayasol,female,53 y.o.,"Naumburg, Germany",widowed,marplayasol,white,-,-,from 19 to 86,1-2 living with me,Straight,Atheist,non-smoker,never,"Friendship, Romance, Serious Relationship, Marriage",Male
Andres007ukwkkw,male,39 y.o.,"Anserma, Caldas, Colombia",single,Andres007ukwkkw,hispanic,Analista,-,from 19 to 37,want children,Straight,Christian,non-smoker,never,Marriage,Female
Sandrock22,male,36 y.o.,"Usulután, El Salvador",single,Sandrock22,hispanic,Barbero,"Atento,amoroso,fiel y decente.",from 19 to 86,want children,Straight,Christian,non-smoker,never,Serious Relationship,Female
Tella,female,27 y.o.,"Cali, Valle del Cauca, Colombia",single,Tella,black,Cajera,-,from 28 to 30,1-2 living with me,Straight,Spiritual,non-smoker,occasional drinker,Serious Relationship,Male
ospicam,male,28 y.o.,"Cali, Valle del Cauca, Colombia",single,ospicam,hispanic,Realizador audiovisual,-,from 19 to 57,no children,Bisexual,Other,non-smoker,occasional drinker,"Friendship, Serious Relationship",Male
AlexMayorga,male,28 y.o.,"Escuintla, Guatemala",single,AlexMayorga,hispanic,Estudiante,-,from 19 to 45,no children,Straight,Atheist,non-smoker,never,Romance,Female
Angelochino,male,46 y.o.,"Caracas, Distrito Capital, Venezuela",divorced,Angelochino,hispanic,Comerciante,-,from 19 to 86,1-2 living with me,Straight,Christian,light smoker,social drinker,"Romance, Marriage",Female
jrmv,male,53 y.o.,"Ciudad Guayana, Bolívar, Venezuela",separated,jrmv,white,tecnico metalurgico,-,from 42 to 53,1-2 living with me,Straight,Christian,non-smoker,occasional drinker,Serious Relationship,Female
Mikee136,male,38 y.o.,"Las Vegas, NV, USA",divorced,Mikee136,hispanic,Construction,I love to have fun and cuddle i lime to cook and pamper my girl,from 19 to 55,no children,Straight,Christian,non-smoker,social drinker,"Fun, Romance, Serious Relationship",Female
